id,company_name,review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
1185,RHB Bank Berhad,17/5/2018,Work environment quite stressful,The work environment start with a happy mood but it then will quickly change to stressful when we start to do it our jobs because we have a target every hour how much account that we need to contact. I learned how to used Microsoft Excel and Microsoft words they also provide a system that used to check balance in customer account. I've also have been through some training and Test with RHB.,3,Telemarketing officer,Kuala Lumpur,former,2,2,2,3,4,Insensitive,"No health care, No MC or leave for contract staff",9,160,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=160
1186,Public-Bank-Berhad,16/5/2018,Productive and Efficient Company,"Great Company and provide good benefits for staff, but didnt plan well on staff career enhancement for certain department. Able to learn a lot knowledge and provide continue training to staff",4,Senior Finance Executive,Malaysia,former,1,5,3,3,5,Salary and bonus,Long hours and have to work on weekend,11,200,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=200
1187,Bank-Rakyat,14/5/2018,Friendly environment,"Colleague are really helpful. Willing to teach me when I don't understand anything. I learned a lot from them.Hence, I am familiar with banking sector. My communication skills got better as I always communicate with customer.",5,Trainee,Kedah,former,5,5,5,5,5,,,2,20,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews?start=20
1188,Cimb-Group,14/5/2018,productive and fun workplace with free breakfast and high tea,"'- only at the first moment when i'm involved with contact centre. i have learn a lot how to solve and handling fussy customer and how to control my patience.even the management just ok but i love the culture at the contact centre. the hardest part of the job when handling fussy customer. for its quite challenging. however i really like it because it teach me a lot so that i can give more good services to the customer. last but not least , the enjoyable part of the job when a lot of my customer give me a good compliment and i am so happy for them.",4,Contact Centre Consultant,Kuala Lumpur,former,3,3,5,3,3,,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1189,maybank,14/5/2018,Good learning opportunity and growth,"The Bank has always emphasized on talent development. I strongly believe that the Bank provides many avenues into building and growing each person working here, bringing the best out from them.",4,AVP - Tax Manager,Kuala Lumpur,current,4,5,5,5,4,Good benefits,,10,180,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=180
1190,Ocbc,11/5/2018,Productive job,"Learned paper work,improve on communication skills. Fun environment . Able work on stress. Helpful management as manager very supportive. Good team members.",5,Litigation Officer,Kuala Lumpur,former,5,5,5,5,5,,,4,60,https://malaysia.indeed.com/cmp/Ocbc-3/reviews?start=60
1191,RHB Bank Berhad,11/5/2018,Productive and target oriented,"Courage me to achieve targets set by management. Fun work environment where a lot of cultural events,birthday celebrations organised by recreational club. Supportive management where always organise meetings with managers/team supervisors.",5,Collection Officer,Kuala Lumpur,former,5,5,5,5,5,,,9,160,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=160
1192,HSBC,7/5/2018,fun and challenging work place,A fun and challenging work place. Multitask work abilities needed. Multiple positive working experience. Good facilities and environment provided for the employee.,3,Global Support Executive,Cyberjaya,former,3,3,3,3,0,,,10,180,https://malaysia.indeed.com/cmp/HSBC/reviews?start=180
1193,Public-Bank-Berhad,7/5/2018,Depends on your working mates.,the management are so good. but the environment depends on how good your workmates. they could influence your working surroundings. try your best to mingle with the correct person so that you will have a good motivation to go to work everyday.,4,Senior Executive,Kuala Lumpur,former,3,5,4,3,3,,,11,200,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=200
1194,HSBC,4/5/2018,If you don't mind working the odd hours than HSBC Cyberjaya is for you,A typical day at work is processing the transaction datas from the balance sheet that you support. Work will be segregated and may be rotated for job rotation so you should expect shift timing changes as well especially if the process supports multiple balance sheets. Work colleagues are generally fantastic given the diverse people in the work place. The culture is generally fine but your management might be the challenge. The hardest part of the job is probably the location in Cyberjaya and the odd working hours. The most enjoyable part of the job is the wonderful diverse colleagues that you get to work with.,3,"Manager, Business Risk and Control Management",Cyberjaya,current,4,3,3,2,2,Working against the Rush Hour,Sleep deprivation,10,180,https://malaysia.indeed.com/cmp/HSBC/reviews?start=180
1195,United Overseas Bank,4/5/2018,Gain a lots of experiences!,"Enjoyed and can learn so many things! Freedom and flexibility in your work, great people, complete transparency in all aspects of business including appraisals and profit sharing. opportunities are given to people who show initiative and performance",4,Contract Officer,Petaling Jaya,former,4,4,4,4,4,,,5,80,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=80
1196,maybank,3/5/2018,Good opportunity,"Management given a lot of opportunity and training to improved skills both off paper and on paper. This position served positive learning experience,",4,INTERNSHIP,Kuala Lumpur,former,2,3,2,3,4,,,10,180,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=180
1197,United Overseas Bank,1/5/2018,Good and supporting staff,"From the first day working until the end, I received full support from the staff on how to manage my work and all help I need. The supervisor are very friendly.",3,Contract Officer,Kuala Lumpur,former,2,2,3,3,3,Free drinks,Work overtime until late night,5,80,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=80
1198,HSBC,30/4/2018,Strong Team,'- Very helpful colleagues and highly motivated supervisors in assisting to achieving the target set by the bank. - High standard bank compare than local bank banks.,3,Financial Advance Manager,Malaysia,former,3,3,3,3,3,Cloth Allowances,,10,180,https://malaysia.indeed.com/cmp/HSBC/reviews?start=180
1199,United Overseas Bank,29/4/2018,Providing Opportunity to learn. Training provided,Good experience. Learned alot. Training provided for every new employee. Friendly working colleagues. Flexible working time. I'm not from banking background yet they still hire me and guide me through.,3,"UA Tester, senior executive",Kuala Lumpur,current,3,3,3,3,3,,,5,80,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews?start=80
1200,RHB Bank Berhad,24/4/2018,This company is very good name. And working in this place very nice,For me working as to take for experince is very good. And i working here very happy. For fresh graduate i sugget to work this company to make your metality strong and learn to control stress and work very hard.,3,Collecter,Kuala Lumpur,former,2,2,2,1,4,,,9,160,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=160
